"timestamp","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.WAP","SPY.hasGaps","SPY.Count"
"2021-12-13 17:00:00",467.78,468,466.76,467.34,87408,467.224,0,59551
"2021-12-13 18:00:00",467.32,468.13,466.76,467.52,46294,467.631,0,30982
"2021-12-13 19:00:00",467.52,467.92,467,467.75,32198,467.458,0,21877
"2021-12-13 20:00:00",467.74,468.3,467.39,468.23,46300,467.911,0,32250
"2021-12-13 21:00:00",468.23,468.63,466.27,466.69,185880,467.555,0,108404
"2021-12-14 15:30:00",463.05,465.74,462.92,464.48,76650,464.382,0,47016
"2021-12-14 16:00:00",464.49,464.76,461.15,461.67,92777,463.204,0,59163
"2021-12-14 17:00:00",461.65,462.16,460.69,461.02,87947,461.486,0,56081
"2021-12-14 18:00:00",461.03,461.29,460.25,460.66,59743,460.76,0,34939
"2021-12-14 19:00:00",460.63,461.48,460.44,460.66,46795,461.025,0,27729
"2021-12-14 20:00:00",460.67,462.67,460.53,462.48,71570,461.939,0,41368
"2021-12-14 21:00:00",462.46,464.44,462.36,463.39,154892,463.216,0,84684
"2021-12-15 15:30:00",463.42,463.73,461.39,461.68,52766,462.383,0,31651
"2021-12-15 16:00:00",461.71,462.97,461.16,462.13,62343,462.102,0,39511
"2021-12-15 17:00:00",462.13,462.4,460.79,461.42,53210,461.454,0,35094
"2021-12-15 18:00:00",461.4,462.28,460.95,462.16,35257,461.687,0,22709
"2021-12-15 19:00:00",462.17,462.8,461.82,462.64,38103,462.196,0,23172
"2021-12-15 20:00:00",462.61,465.88,460.74,464.8,202649,464.099,0,120485
"2021-12-15 21:00:00",464.8,470.86,464.72,470.58,274500,468.993,0,149065
"2021-12-16 15:30:00",472.57,472.87,470.8,470.83,73075,471.819,0,41141
"2021-12-16 16:00:00",470.84,472.29,469.79,471.57,104011,471.177,0,62663
"2021-12-16 17:00:00",471.56,471.67,469.35,469.43,84168,470.26,0,53679
"2021-12-16 18:00:00",469.42,469.87,467.6,467.65,65553,468.821,0,42157
"2021-12-16 19:00:00",467.65,469.22,467.64,468.22,58629,468.552,0,35263
"2021-12-16 20:00:00",468.24,468.61,464.8,465.88,102468,466.631,0,66410
"2021-12-16 21:00:00",465.9,468.33,464.96,466.43,232180,466.772,0,138852
"2021-12-17 15:30:00",461.52,462.37,459.31,460.43,115480,460.637,0,63886
"2021-12-17 16:00:00",460.45,463.96,458.06,463.25,157108,460.505,0,94809
"2021-12-17 17:00:00",463.29,464.74,460.32,461.38,120223,462.535,0,74499
"2021-12-17 18:00:00",461.37,462.65,459.83,461.76,74496,461.365,0,47336
"2021-12-17 19:00:00",461.74,463.72,461.03,463.59,57880,462.399,0,36124
"2021-12-17 20:00:00",463.6,463.69,461.77,462.27,67233,462.744,0,41262
"2021-12-17 21:00:00",462.28,463.26,459.52,459.88,201787,461.006,0,112642
"2021-12-20 15:30:00",454.48,454.95,452.54,454.09,111885,453.877,0,65328
"2021-12-20 16:00:00",454.06,454.37,451.63,451.93,118393,452.93,0,69746
"2021-12-20 17:00:00",451.92,452.93,451.14,452.87,83933,451.85,0,47278
"2021-12-20 18:00:00",452.87,453.44,451.75,451.85,56486,452.437,0,32558
"2021-12-20 19:00:00",451.84,454.06,451.55,453.41,68614,452.828,0,41329
"2021-12-20 20:00:00",453.38,454.39,452.89,453.62,71932,453.703,0,42388
"2021-12-20 21:00:00",453.64,455.4,453.44,454.99,186118,454.514,0,97820
"2021-12-21 15:30:00",458.57,459.5,457.1,457.39,60070,458.394,0,35733
"2021-12-21 16:00:00",457.4,458.77,456.31,457.48,76485,457.427,0,49808
"2021-12-21 17:00:00",457.48,460.36,457.21,459.79,68335,458.983,0,45581
"2021-12-21 18:00:00",459.78,461.94,459.7,461.86,51737,460.973,0,33191
"2021-12-21 19:00:00",461.87,462.54,461.26,462.15,52641,461.93,0,30267
"2021-12-21 20:00:00",462.15,462.78,461.71,462.77,48709,462.243,0,31355
"2021-12-21 21:00:00",462.77,463.21,461.23,463.05,131936,462.412,0,73249
"2021-12-22 15:30:00",462.79,463.93,462.58,463.48,50385,463.297,0,28548
"2021-12-22 16:00:00",463.46,466.31,463.11,466.12,76070,464.685,0,47658
"2021-12-22 17:00:00",466.13,466.68,465.77,466.5,46083,466.262,0,30523
"2021-12-22 18:00:00",466.51,466.91,466.1,466.83,34135,466.515,0,21517
"2021-12-22 19:00:00",466.83,466.87,465.61,465.87,27135,466.286,0,17797
"2021-12-22 20:00:00",465.88,466.39,465.27,466.31,35454,465.819,0,23668
"2021-12-22 21:00:00",466.32,467.81,466.08,467.7,115258,467.056,0,61800
"2021-12-23 15:30:00",468.75,470.66,468.64,470.17,57479,469.94,0,30722
"2021-12-23 16:00:00",470.17,471.12,470,471.09,48457,470.579,0,28257
"2021-12-23 17:00:00",471.08,471.47,470.79,471.3,38978,471.177,0,21773
"2021-12-23 18:00:00",471.31,471.31,470.88,471.08,23853,471.027,0,14975
"2021-12-23 19:00:00",471.07,471.42,470.72,471.3,20223,471.078,0,12553
"2021-12-23 20:00:00",471.31,471.82,471.18,471.79,28698,471.557,0,17312
"2021-12-23 21:00:00",471.79,472.19,470.54,470.58,126714,471.522,0,68179
"2021-12-27 15:30:00",472.03,473.71,472.01,473.19,43789,473.005,0,24835
"2021-12-27 16:00:00",473.19,474.99,473.08,474.98,60228,474.347,0,37963
"2021-12-27 17:00:00",474.98,475.29,474.63,475.25,38343,475.033,0,24044
"2021-12-27 18:00:00",475.26,475.8,475.23,475.78,26275,475.559,0,16197
"2021-12-27 19:00:00",475.77,476.31,475.64,476.3,31762,475.954,0,18640
"2021-12-27 20:00:00",476.31,476.61,475.93,476.17,42209,476.3,0,26068
"2021-12-27 21:00:00",476.17,477.31,475.69,477.27,122024,476.679,0,62390
"2021-12-28 15:30:00",477.72,478.81,477.23,478.47,40933,477.909,0,22811
"2021-12-28 16:00:00",478.49,478.75,477.11,477.84,47226,477.906,0,30003
"2021-12-28 17:00:00",477.84,478.16,477.17,478.05,37683,477.708,0,23246
"2021-12-28 18:00:00",478.05,478.09,476.06,476.77,32835,476.895,0,19620
"2021-12-28 19:00:00",476.77,477.19,476.44,477.17,19923,476.799,0,12280
"2021-12-28 20:00:00",477.17,477.17,476.24,476.99,26615,476.677,0,15842
"2021-12-28 21:00:00",477,477.7,476.44,476.89,83863,476.869,0,48580
"2021-12-29 15:30:00",477,478.15,476.9,477.58,38363,477.575,0,23317
"2021-12-29 16:00:00",477.59,477.73,475.92,477.23,55760,476.906,0,36391
"2021-12-29 17:00:00",477.22,477.43,476.44,476.58,29944,476.909,0,19012
"2021-12-29 18:00:00",476.6,476.8,476.16,476.79,29033,476.488,0,15848
"2021-12-29 19:00:00",476.78,477.29,476.62,477.18,23305,476.922,0,12835
"2021-12-29 20:00:00",477.17,477.63,477.02,477.59,27849,477.342,0,15788
"2021-12-29 21:00:00",477.58,478.56,477.36,477.47,108024,477.972,0,62993
"2021-12-30 15:30:00",477.93,478.96,477.69,478.21,38156,478.299,0,22943
"2021-12-30 16:00:00",478.21,479,477.95,478.16,43628,478.549,0,27879
"2021-12-30 17:00:00",478.15,478.43,478.02,478.24,31408,478.203,0,19994
"2021-12-30 18:00:00",478.24,478.4,477.79,478.33,30930,478.103,0,17546
"2021-12-30 19:00:00",478.33,478.37,477.91,478.24,22452,478.18,0,13882
"2021-12-30 20:00:00",478.24,478.31,477.75,478.15,29927,478.038,0,16835
"2021-12-30 21:00:00",478.15,478.15,475.67,476.13,115536,476.665,0,63773
"2021-12-31 15:30:00",475.64,476.86,475.44,475.71,39465,476.158,0,25512
"2021-12-31 16:00:00",475.7,476.26,474.87,475.8,53056,475.643,0,35114
"2021-12-31 17:00:00",475.8,475.95,475.26,475.32,28202,475.656,0,18995
"2021-12-31 18:00:00",475.34,476.18,474.94,476.14,31903,475.408,0,20675
"2021-12-31 19:00:00",476.13,476.49,475.87,476.32,26647,476.173,0,17635
"2021-12-31 20:00:00",476.32,476.66,475.75,475.96,45879,476.131,0,30914
"2021-12-31 21:00:00",475.95,476.7,474.67,474.88,153925,475.566,0,85192
"2022-01-03 15:30:00",476.32,477.72,473.85,474.93,85575,475.887,0,47840
"2022-01-03 16:00:00",474.94,476.78,474.77,476.17,66067,475.872,0,42505
"2022-01-03 17:00:00",476.16,476.25,474.45,475.36,49561,475.337,0,32333
"2022-01-03 18:00:00",475.32,476,475.03,475.6,31075,475.624,0,19833
"2022-01-03 19:00:00",475.6,476.77,475.33,476.74,35086,476.103,0,23479
"2022-01-03 20:00:00",476.73,477.68,476.6,477.23,47520,477.051,0,29406
"2022-01-03 21:00:00",477.22,477.85,476.65,477.75,126267,477.407,0,71388
"2022-01-04 15:30:00",479.22,479.98,479.05,479.69,56129,479.561,0,33238
"2022-01-04 16:00:00",479.68,479.76,477.51,477.62,74585,478.81,0,46563
